Index,Action,TimeStamp,Object,// Reference is Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordStart,2021-02-24T11:06:02.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordEnd,2021-02-24T11:07:02.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordName,5b3f5d2c-9ea0-47a6-aa35-7551cfdaa330.mp4,collectedData,[accData,[accDate,2021-02-24T11:06:02.117,accInterval,0.1,accXyz,[x,-0.062249243,y,-0.18674773,z,9.787796020507812],degree,0,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:23.909,accInterval,21.9,accXyz,[x,0.155623108,y,-0.10295067,z,9.754277229309082],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:24.241,accInterval,22.2,accXyz,[x,-0.071826048,y,-0.189141929,z,9.850045204162598],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:24.643,accInterval,22.6,accXyz,[x,-0.059855044,y,-0.189141929,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:24.862,accInterval,22.8,accXyz,[x,-0.110133275,y,-0.201112941,z,9.845256805419922],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:25.127,accInterval,23.1,accXyz,[x,-0.071826048,y,-0.181959331,z,9.850045204162598],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:25.371,accInterval,23.4,accXyz,[x,-0.059855044,y,-0.177170932,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:25.637,accInterval,23.6,accXyz,[x,-0.169988319,y,-0.208295554,z,9.799766540527344],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:26.052,accInterval,24,accXyz,[x,-0.210689753,y,-0.193930343,z,9.510068893432617],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:26.238,accInterval,24.2,accXyz,[x,0.651222885,y,0.019153614,z,11.23868179321289],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:26.642,accInterval,24.6,accXyz,[x,0.114921682,y,-0.117315881,z,10.374375343322754],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:26.874,accInterval,24.9,accXyz,[x,-0.117315881,y,-0.201112941,z,9.845256805419922],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:27.308,accInterval,25.3,accXyz,[x,-0.110133275,y,-0.191536129,z,9.933841705322266],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:27.443,accInterval,25.4,accXyz,[x,-0.141257897,y,-0.225054964,z,9.857227325439453],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:27.781,accInterval,25.8,accXyz,[x,-0.112527482,y,-0.220266551,z,10.005668640136719],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:28.057,accInterval,26,accXyz,[x,-0.079008654,y,-0.217872351,z,9.96257209777832],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:28.287,accInterval,26.3,accXyz,[x,-0.16759412,y,-0.20350714,z,9.821314811706543],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:28.591,accInterval,26.6,accXyz,[x,-0.059855044,y,-0.193930343,z,9.933841705322266],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:28.963,accInterval,26.9,accXyz,[x,-0.191536129,y,-0.150834709,z,9.967360496520996],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:29.179,accInterval,27.2,accXyz,[x,-0.323217243,y,-0.146046311,z,10.209175109863281],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:29.508,accInterval,27.5,accXyz,[x,0.074220255,y,-0.16759412,z,9.593865394592285],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:29.871,accInterval,27.9,accXyz,[x,-0.069431849,y,-0.169988319,z,9.22755241394043],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:30.037,accInterval,28,accXyz,[x,-0.225054964,y,-0.165199921,z,9.505280494689941],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:30.347,accInterval,28.3,accXyz,[x,-0.158017308,y,-0.234631762,z,10.192416191101074],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:30.688,accInterval,28.7,accXyz,[x,-0.107739076,y,-0.201112941,z,10.32170295715332],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:30.921,accInterval,28.9,accXyz,[x,-0.062249243,y,-0.189141929,z,9.905111312866211],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:31.310,accInterval,29.3,accXyz,[x,-0.045489833,y,-0.16759412,z,9.799766540527344],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:31.540,accInterval,29.5,accXyz,[x,-0.172382519,y,-0.16759412,z,9.799766540527344],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:31.844,accInterval,29.8,accXyz,[x,-0.146046311,y,-0.215478152,z,9.790189743041992],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:32.223,accInterval,30.2,accXyz,[x,-0.079008654,y,-0.179565132,z,9.816526412963867],degree,359.916946,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:32.506,accInterval,30.5,accXyz,[x,-0.038307227,y,-0.162805721,z,10.35761547088623],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:32.734,accInterval,30.7,accXyz,[x,-0.04070143,y,-0.150834709,z,10.1660795211792],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:33.041,accInterval,31,accXyz,[x,-0.071826048,y,-0.18435353,z,9.917082786560059],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:33.364,accInterval,31.4,accXyz,[x,-0.064643443,y,-0.179565132,z,9.883563995361328],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:33.679,accInterval,31.7,accXyz,[x,-0.059855044,y,-0.165199921,z,9.967360496520996],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:33.972,accInterval,32,accXyz,[x,-0.10295067,y,-0.20350714,z,10.067917823791504],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:34.246,accInterval,32.2,accXyz,[x,-0.20350714,y,-0.220266551,z,9.933841705322266],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:34.613,accInterval,32.6,accXyz,[x,-0.114921682,y,-0.198718742,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:34.878,accInterval,32.9,accXyz,[x,-0.16759412,y,-0.210689753,z,9.5531644821167],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:35.145,accInterval,33.1,accXyz,[x,-0.095768064,y,-0.189141929,z,9.921871185302734],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:35.498,accInterval,33.5,accXyz,[x,-0.021547815,y,-0.146046311,z,9.991303443908691],degree,359.9291529,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:35.722,accInterval,33.7,accXyz,[x,-0.021547815,y,-0.196324542,z,9.897929191589355],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:35.979,accInterval,34,accXyz,[x,-0.220266551,y,-0.196324542,z,9.313743591308594],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:36.319,accInterval,34.3,accXyz,[x,-0.107739076,y,-0.158017308,z,9.771036148071289],degree,0,,,,,,,,,,,,,,,,,,,,
