Index,Action,TimeStamp,Object,// Reference is Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordStart,2021-02-24T11:06:02.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordEnd,2021-02-24T11:07:02.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordName,5b3f5d2c-9ea0-47a6-aa35-7551cfdaa330.mp4,collectedData,[accData,[accDate,2021-02-24T11:06:02.117,accInterval,0.1,accXyz,[x,-0.062249243,y,-0.18674773,z,9.787796020507812],degree,0,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:39.737,magInterval,37.7,magXyz,[x,-618.2999878,y,-1562.76001,z,-1047.0599365234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:40.082,magInterval,38.1,magXyz,[x,-618.2999878,y,-1562.339966,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:40.547,magInterval,38.5,magXyz,[x,-617.5199585,y,-1562.579956,z,-1047.719970703125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:40.906,magInterval,38.9,magXyz,[x,-618,y,-1562.880005,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:41.279,magInterval,39.3,magXyz,[x,-617.6400146,y,-1562.219971,z,-1047.47998046875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:41.681,magInterval,39.7,magXyz,[x,-616.9799805,y,-1563.119995,z,-1047.47998046875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:42.089,magInterval,40.1,magXyz,[x,-617.5199585,y,-1563.179932,z,-1048.0799560546875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:42.586,magInterval,40.6,magXyz,[x,-617.8200073,y,-1562.400024,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:42.892,magInterval,40.9,magXyz,[x,-618.7799683,y,-1562.400024,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:43.342,magInterval,41.3,magXyz,[x,-619.3200073,y,-1562.76001,z,-1048.260009765625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:43.693,magInterval,41.7,magXyz,[x,-618.7799683,y,-1562.279907,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:44.097,magInterval,42.1,magXyz,[x,-618.1199951,y,-1562.039917,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:44.481,magInterval,42.5,magXyz,[x,-617.7000122,y,-1562.339966,z,-1047.239990234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:44.908,magInterval,42.9,magXyz,[x,-618.3599854,y,-1562.459961,z,-1047.719970703125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:45.364,magInterval,43.4,magXyz,[x,-618.3599854,y,-1562.640015,z,-1047.9599609375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:45.769,magInterval,43.8,magXyz,[x,-618.0599976,y,-1563,z,-1047.239990234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:46.101,magInterval,44.1,magXyz,[x,-619.0199585,y,-1563,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:46.560,magInterval,44.5,magXyz,[x,-618.8399658,y,-1562.339966,z,-1047.0599365234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:46.881,magInterval,44.9,magXyz,[x,-617.8200073,y,-1561.919922,z,-1047.5999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:47.357,magInterval,45.3,magXyz,[x,-617.3399658,y,-1561.439941,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:47.702,magInterval,45.7,magXyz,[x,-618.0599976,y,-1562.219971,z,-1047.0599365234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:48.101,magInterval,46.1,magXyz,[x,-618.3599854,y,-1562.880005,z,-1047.5999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:48.550,magInterval,46.5,magXyz,[x,-618,y,-1562.699951,z,-1047.47998046875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:48.995,magInterval,47,magXyz,[x,-618.8399658,y,-1562.459961,z,-1046.5799560546875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:49.294,magInterval,47.3,magXyz,[x,-619.4400024,y,-1562.159912,z,-1046.5799560546875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:49.718,magInterval,47.7,magXyz,[x,-619.2000122,y,-1562.52002,z,-1046.280029296875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:50.081,magInterval,48.1,magXyz,[x,-618.7199707,y,-1562.640015,z,-1046.3399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:50.571,magInterval,48.6,magXyz,[x,-618.1199951,y,-1562.339966,z,-1047.3599853515625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:50.948,magInterval,48.9,magXyz,[x,-618.2999878,y,-1562.459961,z,-1048.5],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:51.381,magInterval,49.4,magXyz,[x,-619.5599976,y,-1562.640015,z,-1048.43994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:51.832,magInterval,49.8,magXyz,[x,-619.2000122,y,-1562.699951,z,-1047.0599365234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:52.087,magInterval,50.1,magXyz,[x,-618.0599976,y,-1562.640015,z,-1046.760009765625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:52.480,magInterval,50.5,magXyz,[x,-617.8800049,y,-1562.279907,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:52.930,magInterval,50.9,magXyz,[x,-618.1199951,y,-1562.099976,z,-1047.3599853515625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:53.298,magInterval,51.3,magXyz,[x,-618.1799927,y,-1562.219971,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:53.684,magInterval,51.7,magXyz,[x,-618.5999756,y,-1562.640015,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:54.178,magInterval,52.2,magXyz,[x,-618.4199829,y,-1563.119995,z,-1046.93994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:54.515,magInterval,52.5,magXyz,[x,-618.5999756,y,-1562.939941,z,-1046.52001953125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:54.905,magInterval,52.9,magXyz,[x,-619.2600098,y,-1562.219971,z,-1046.8800048828125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:55.297,magInterval,53.3,magXyz,[x,-617.8800049,y,-1562.159912,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:55.685,magInterval,53.7,magXyz,[x,-618.6599731,y,-1562.339966,z,-1047.780029296875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:56.094,magInterval,54.1,magXyz,[x,-619.2000122,y,-1562.819946,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:56.486,magInterval,54.5,magXyz,[x,-618.3599854,y,-1563.059937,z,-1047.239990234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:56.921,magInterval,54.9,magXyz,[x,-618.1799927,y,-1562.579956,z,-1047.47998046875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:57.305,magInterval,55.3,magXyz,[x,-618.2999878,y,-1562.459961,z,-1046.6400146484375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:57.707,magInterval,55.7,magXyz,[x,-618.5999756,y,-1562.279907,z,-1046.0999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:58.079,magInterval,56.1,magXyz,[x,-618.7799683,y,-1562.52002,z,-1046.8199462890625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:58.484,magInterval,56.5,magXyz,[x,-618.7799683,y,-1562.640015,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:58.882,magInterval,56.9,magXyz,[x,-618.0599976,y,-1562.099976,z,-1047.719970703125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:59.383,magInterval,57.4,magXyz,[x,-618.1199951,y,-1562.579956,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:59.719,magInterval,57.7,magXyz,[x,-618.6599731,y,-1562.400024,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:07:00.097,magInterval,58.1,magXyz,[x,-618.8399658,y,-1562.219971,z,-1047.47998046875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:07:00.575,magInterval,58.6,magXyz,[x,-618.539978,y,-1562.219971,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:07:01.107,magInterval,59.1,magXyz,[x,-619.0199585,y,-1562.099976,z,-1046.8199462890625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:07:01.333,magInterval,59.3,magXyz,[x,-619.6799927,y,-1561.97998,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:07:01.784,magInterval,59.8,magXyz,[x,-619.6799927,y,-1561.97998,z,-1047],degree,0],gyroData,[gyroDate,2021-02-24T11:06:02.361,gyroInterval,0.3,gyroXyz,[x,-0.00412334,y,0.002977968,z,0.0032070425804704428],degree,0,,,,,,
gyroDate,2021-02-24T11:06:02.740,gyroInterval,0.7,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:03.121,gyroInterval,1.1,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:03.448,gyroInterval,1.4,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:03.815,gyroInterval,1.8,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:04.176,gyroInterval,2.2,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:04.542,gyroInterval,2.5,gyroXyz,[x,-0.003512475,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:04.884,gyroInterval,2.9,gyroXyz,[x,-0.003512475,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:05.247,gyroInterval,3.2,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:05.970,gyroInterval,4,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.0032070425804704428],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:06.197,gyroInterval,4.2,gyroXyz,[x,-0.00412334,y,0.002367103,z,0.003817907767370343],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:06.444,gyroInterval,4.4,gyroXyz,[x,-0.003512475,y,0.002367103,z,0.003817907767370343],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:06.841,gyroInterval,4.8,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:07.360,gyroInterval,5.3,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:07.641,gyroInterval,5.6,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:07.813,gyroInterval,5.8,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:08.213,gyroInterval,6.2,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:08.579,gyroInterval,6.6,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:08.903,gyroInterval,6.9,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:09.261,gyroInterval,7.2,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:09.626,gyroInterval,7.6,gyroXyz,[x,-0.001756238,y,0.000916298,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:09.978,gyroInterval,8,gyroXyz,[x,0.011071933,y,-0.037568212,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:10.301,gyroInterval,8.3,gyroXyz,[x,-0.005421429,y,0.015577064,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:10.640,gyroInterval,8.6,gyroXyz,[x,-0.000534507,y,-0.000305433,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:11.031,gyroInterval,9,gyroXyz,[x,0.000687223,y,-0.003970624,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:11.384,gyroInterval,9.4,gyroXyz,[x,0.015958855,y,-0.05222898,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:11.741,gyroInterval,9.7,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:12.094,gyroInterval,10.1,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:12.535,gyroInterval,10.5,gyroXyz,[x,-0.023747386,y,0.074220128,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:12.812,gyroInterval,10.8,gyroXyz,[x,-0.001145372,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:13.158,gyroInterval,11.1,gyroXyz,[x,7.63582E-05,y,-0.002138028,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:13.555,gyroInterval,11.5,gyroXyz,[x,0.022067508,y,-0.070554934,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:13.905,gyroInterval,11.9,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:14.243,gyroInterval,12.2,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:14.623,gyroInterval,12.6,gyroXyz,[x,0.006795876,y,-0.024129177,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:14.958,gyroInterval,12.9,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:15.321,gyroInterval,13.3,gyroXyz,[x,0.001908954,y,-0.006414085,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:15.702,gyroInterval,13.7,gyroXyz,[x,-0.013362677,y,0.041844271,z,0.0012217304902151227],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:16.094,gyroInterval,14.1,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:16.416,gyroInterval,14.4,gyroXyz,[x,0.022678372,y,-0.074220128,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:16.840,gyroInterval,14.8,gyroXyz,[x,-0.000534507,y,0.000305433,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:17.126,gyroInterval,15.1,gyroXyz,[x,0.006185011,y,-0.019853121,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:17.540,gyroInterval,15.5,gyroXyz,[x,-0.021303926,y,0.066278882,z,0.0006108652451075613],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:17.839,gyroInterval,15.8,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:18.199,gyroInterval,16.2,gyroXyz,[x,0.004352415,y,-0.014966198,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:18.619,gyroInterval,16.6,gyroXyz,[x,-0.00786489,y,0.024129177,z,0.0012217304902151227],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:18.927,gyroInterval,16.9,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:19.316,gyroInterval,17.3,gyroXyz,[x,0.00374155,y,-0.012522737,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:19.673,gyroInterval,17.7,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:20.102,gyroInterval,18.1,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:20.370,gyroInterval,18.4,gyroXyz,[x,7.63582E-05,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:20.787,gyroInterval,18.8,gyroXyz,[x,-0.010308351,y,0.032070424,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:21.086,gyroInterval,19.1,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:21.469,gyroInterval,19.5,gyroXyz,[x,7.63582E-05,y,0.000305433,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:21.871,gyroInterval,19.9,gyroXyz,[x,-0.000534507,y,0.000305433,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:22.244,gyroInterval,20.2,gyroXyz,[x,0.013515393,y,-0.041233405,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:22.538,gyroInterval,20.5,gyroXyz,[x,-0.026190847,y,0.083383106,z,0.0006108652451075613],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:22.890,gyroInterval,20.9,gyroXyz,[x,-0.000534507,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:23.275,gyroInterval,21.3,gyroXyz,[x,7.63582E-05,y,0.000305433,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:23.624,gyroInterval,21.6,gyroXyz,[x,0.022067508,y,-0.068111472,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:24.092,gyroInterval,22.1,gyroXyz,[x,-0.024358252,y,0.076052725,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:24.359,gyroInterval,22.3,gyroXyz,[x,7.63582E-05,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:24.827,gyroInterval,22.8,gyroXyz,[x,7.63582E-05,y,0.000305433,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:25.043,gyroInterval,23,gyroXyz,[x,7.63582E-05,y,0.000305433,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:25.475,gyroInterval,23.5,gyroXyz,[x,0.001298089,y,-0.003970624,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:25.768,gyroInterval,23.8,gyroXyz,[x,0.015958855,y,-0.049174652,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:26.142,gyroInterval,24.1,gyroXyz,[x,0.014737124,y,-0.045509461,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:26.574,gyroInterval,24.6,gyroXyz,[x,-0.000534507,y,0.002748894,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:26.851,gyroInterval,24.8,gyroXyz,[x,-0.02069306,y,0.064446285,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:27.333,gyroInterval,25.3,gyroXyz,[x,-0.022525655,y,0.070554934,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:27.575,gyroInterval,25.6,gyroXyz,[x,0.024510968,y,-0.074220128,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:28.020,gyroInterval,26,gyroXyz,[x,0.008017606,y,-0.024129177,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:28.301,gyroInterval,26.3,gyroXyz,[x,-0.014584408,y,0.044898596,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:28.639,gyroInterval,26.6,gyroXyz,[x,-0.018249599,y,0.058948494,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:29.057,gyroInterval,27,gyroXyz,[x,0.00374155,y,-0.010079277,z,0.004886921960860491],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:29.359,gyroInterval,27.3,gyroXyz,[x,0.011682798,y,-0.034513887,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:29.860,gyroInterval,27.8,gyroXyz,[x,-0.002977968,y,0.008857546,z,0.00427605677396059],degree,359.9171256,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:30.100,gyroInterval,28.1,gyroXyz,[x,-0.012751812,y,0.04062254,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:30.441,gyroInterval,28.4,gyroXyz,[x,0.011071933,y,-0.033292156,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:30.800,gyroInterval,28.8,gyroXyz,[x,-0.00908662,y,0.030237829,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:31.286,gyroInterval,29.3,gyroXyz,[x,0.01779145,y,-0.052839845,z,0.003054326167330146],degree,359.9173789,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:31.525,gyroInterval,29.5,gyroXyz,[x,-0.000534507,y,0.003970624,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:31.879,gyroInterval,29.9,gyroXyz,[x,0.024510968,y,-0.074220128,z,0.003054326167330146],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:32.327,gyroInterval,30.3,gyroXyz,[x,-0.006032294,y,0.022296581,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:32.599,gyroInterval,30.6,gyroXyz,[x,0.011682798,y,-0.033903021,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:33.006,gyroInterval,31,gyroXyz,[x,0.002519819,y,-0.00580322,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:33.354,gyroInterval,31.3,gyroXyz,[x,7.63582E-05,y,0.000916298,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:33.721,gyroInterval,31.7,gyroXyz,[x,-0.02069306,y,0.066278882,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:34.075,gyroInterval,32.1,gyroXyz,[x,-0.007254025,y,0.022296581,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:34.435,gyroInterval,32.4,gyroXyz,[x,-0.010308351,y,0.033903021,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:34.856,gyroInterval,32.8,gyroXyz,[x,-0.013362677,y,0.043676864,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:35.129,gyroInterval,33.1,gyroXyz,[x,0.024510968,y,-0.07544186,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:35.530,gyroInterval,33.5,gyroXyz,[x,0.020845776,y,-0.065057151,z,0.0024434609804302454],degree,0,,,,,,,,,,,,,,,,,,,,
gyroDate,2021-02-24T11:06:35.912,gyroInterval,33.9,gyroXyz,[x,-0.017638734,y,0.05589417,z,0.001832595793530345],degree,0,,,,,,,,,,,,,,,,,,,,
